t_rel_s,vdd_cpu_gpu_cv_mw,vdd_in_mw,vdd_soc_mw,temp_cpu_c,temp_gpu_c,temp_soc0_c,temp_soc1_c,temp_soc2_c,temp_tj_c,gpu_util_pct,gpu_mhz,emc_util_pct,emc_mhz,ram_used_mb
0.0,1273,5971,2428,48.062,49.343,48.187,48.437,47.0,49.343,0,915,0,3199,2491
0.114,1273,5931,2388,48.031,49.218,48.093,48.531,47.093,49.218,0,916,0,3199,2491
0.228,1273,5931,2388,48.0,49.062,48.031,48.437,47.062,49.062,0,915,0,3199,2491
0.341,1273,5931,2388,48.031,49.031,48.062,48.343,47.062,49.031,0,914,0,3199,2497
0.454,1351,6090,2428,48.531,49.125,48.218,48.281,47.062,49.125,0,914,0,3199,2552
0.57,1470,6289,2468,48.531,49.031,48.218,48.531,47.125,49.031,0,915,1,3199,2690
0.683,2654,8094,2737,48.375,50.656,48.187,48.531,47.187,50.656,99,896,2,3199,2690
0.797,3520,9468,2971,48.406,50.656,48.156,48.437,47.375,50.656,99,895,5,3199,2690
0.911,4218,10560,3159,48.562,50.718,48.156,48.375,47.468,50.718,99,897,7,3199,2691
1.025,4723,11372,3277,48.5,50.843,48.281,48.312,47.5,50.843,99,897,8,3199,2691
1.138,5116,11984,3390,48.812,51.375,48.218,48.375,47.562,51.375,99,897,10,3199,2691
1.251,5422,12457,3469,48.968,51.062,48.468,48.531,47.593,51.062,99,896,12,3199,2691
1.365,5658,12812,3503,48.687,51.562,48.437,48.593,47.718,51.562,99,896,13,3199,2691
1.479,5806,13067,3581,48.812,51.406,48.375,48.468,47.937,51.406,99,897,14,3199,2691
1.593,5963,13303,3621,48.656,51.343,48.468,48.531,47.875,51.343,99,896,16,3199,2690
1.707,6041,13461,3615,48.781,51.218,48.406,48.5,47.875,51.218,99,897,17,3199,2690
1.822,6120,13618,3654,49.031,51.281,48.468,48.437,48.0,51.281,99,896,18,3199,2690
1.935,6198,13697,3654,49.218,51.75,48.531,48.75,48.031,51.75,99,897,19,3199,2691
2.049,6237,13776,3693,49.0,51.656,48.531,48.656,48.062,51.656,99,895,19,3199,2691
2.161,6266,13815,3693,49.0,51.875,48.531,48.718,48.125,51.875,99,896,20,3199,2691
2.275,6306,13854,3693,48.875,51.75,48.531,48.687,48.125,51.75,99,897,21,3199,2691
2.388,6306,13894,3693,49.187,51.687,48.75,48.625,48.031,51.687,99,897,21,3199,2691
2.501,6306,13871,3693,49.343,51.843,48.781,48.812,48.187,51.843,99,896,22,3199,2691
2.614,6345,13871,3693,49.093,51.718,48.687,48.812,48.312,51.718,99,896,23,3199,2690
2.728,6345,13910,3693,49.187,51.718,48.75,48.781,48.25,51.718,99,895,23,3199,2690
2.841,6345,13950,3693,49.468,52.156,48.75,48.718,48.25,52.156,99,896,23,3199,2690
2.953,6345,13950,3693,49.312,51.718,48.812,48.75,48.312,51.718,99,897,24,3199,2691
3.067,6345,13950,3693,49.406,52.281,48.843,48.875,48.281,52.281,99,895,24,3199,2690
3.18,6345,13950,3693,49.25,52.187,48.781,48.875,48.437,52.187,99,897,25,3199,2690
3.293,6345,13950,3693,49.187,51.75,48.781,48.656,48.406,51.75,99,895,25,3199,2690
